intent,user_input,response
poderes,QUAL O PODER DO GOKU?,Goku utiliza o Ki e diversas transformações Saiyajin. Posso recomendar mais.
despedida,até logo,Claro! Até logo! Espero que encontre um anime incrível.
curiosidade,me responde aí: quem criou Naruto?,Naruto foi criado por Masashi Kishimoto. Curte esse tipo?
comparacao,Qual anime é mais famoso?,One Piece e Dragon Ball estão entre os mais populares. 😊
despedida,até logo,Até logo! Espero que encontre um anime incrível. Curte esse tipo?
saudacao,mano oi,Oi! Como posso ajudar sobre animes hoje?
poderes,mano o que é sharingan?,Sharingan é uma habilidade ocular do clã Uchiha. Posso recomendar mais.
despedida,TCHAU,Até mais! Bons episódios pra você. Posso recomendar mais.
personagem,quem é o Levi??,Levi Ackerman é capitão da tropa de exploração em Attack on Titan. Posso recomendar mais.
despedida,mano falou,Falou! Depois voltamos ao mundo dos animes. Curte esse tipo?
poderes,Qual o poder do goku?,Goku utiliza o Ki e diversas transformações Saiyajin. Curte esse tipo?
saudacao,BOM DIA,Bom dia! Quer conversar sobre qual anime?
saudacao,mano oi,Oi! Como posso ajudar sobre animes hoje?
saudacao,me responde aí: eae,Fala! Curte anime também? Posso recomendar mais.
saudacao,OI,Oi! Como posso ajudar sobre animes hoje? 😊
despedida,mano tchau,Até mais! Bons episódios pra você. Posso recomendar mais.
comparacao,Qual anime é mais famoso?,One Piece e Dragon Ball estão entre os mais populares. Curte esse tipo?
personagem,quem é o Levi??,Claro! Levi Ackerman é capitão da tropa de exploração em Attack on Titan.
poderes,qual o poder do Goku??,Goku utiliza o Ki e diversas transformações Saiyajin. Posso recomendar mais.
comparacao,Quem vence goku ou naruto?,Depende das regras da comparação e do universo. Curte esse tipo?
poderes,me responde aí: qual o poder do Goku?,Goku utiliza o Ki e diversas transformações Saiyajin.
despedida,falou?,Falou! Depois voltamos ao mundo dos animes. 😊
saudacao,eae,Fala! Curte anime também? 😊
poderes,mano o que é sharingan?,Claro! Sharingan é uma habilidade ocular do clã Uchiha.
comparacao,QUAL ANIME É MAIS FAMOSO?,One Piece e Dragon Ball estão entre os mais populares. 😊
curiosidade,Qual anime mais longo?,Sazae-san é considerado o anime mais longo da história. 😊
despedida,TCHAU,Claro! Até mais! Bons episódios pra você.
saudacao,me responde aí: eae,Fala! Curte anime também? Posso recomendar mais.
poderes,me responde aí: qual o poder do Goku?,Claro! Goku utiliza o Ki e diversas transformações Saiyajin.
comparacao,me responde aí: Naruto é melhor que One Piece?,Isso varia muito do gosto de cada fã. Curte esse tipo?
recomendacao,me recomenda um anime de ação?,Você pode gostar de Attack on Titan.
poderes,O QUE É SHARINGAN?,Sharingan é uma habilidade ocular do clã Uchiha.
curiosidade,Qual anime mais longo?,Claro! Sazae-san é considerado o anime mais longo da história.
comparacao,me responde aí: Naruto é melhor que One Piece?,Isso varia muito do gosto de cada fã. Posso recomendar mais.
episodios,me responde aí: One Piece acabou?,"Não, One Piece ainda está em exibição. Curte esse tipo?"
personagem,mano quem é o Naruto?,Naruto Uzumaki é o protagonista do anime Naruto. Posso recomendar mais.
despedida,ATÉ LOGO,Até logo! Espero que encontre um anime incrível. Posso recomendar mais.
episodios,Quantos episódios tem naruto?,Naruto clássico possui 220 episódios. Posso recomendar mais.
despedida,FALOU,Falou! Depois voltamos ao mundo dos animes. Curte esse tipo?
curiosidade,QUAL FOI O PRIMEIRO ANIME?,Astro Boy foi um dos primeiros animes populares. Posso recomendar mais.
episodios,mano One Piece acabou?,"Não, One Piece ainda está em exibição. Posso recomendar mais."
comparacao,me responde aí: Naruto é melhor que One Piece?,Claro! Isso varia muito do gosto de cada fã.
curiosidade,mano quem criou Naruto?,Naruto foi criado por Masashi Kishimoto. 😊
curiosidade,QUAL ANIME MAIS LONGO?,Sazae-san é considerado o anime mais longo da história. Curte esse tipo?
comparacao,quem vence Goku ou Naruto??,Claro! Depende das regras da comparação e do universo.
saudacao,bom dia,Bom dia! Quer conversar sobre qual anime? 😊
personagem,QUEM É O NARUTO?,Naruto Uzumaki é o protagonista do anime Naruto. 😊
personagem,Quem é o levi?,Levi Ackerman é capitão da tropa de exploração em Attack on Titan.
curiosidade,mano qual foi o primeiro anime?,Claro! Astro Boy foi um dos primeiros animes populares.
comparacao,me responde aí: qual anime é mais famoso?,Claro! One Piece e Dragon Ball estão entre os mais populares.
comparacao,me responde aí: quem vence Goku ou Naruto?,Claro! Depende das regras da comparação e do universo.
recomendacao,anime engraçado,Spy x Family é uma ótima escolha.
saudacao,mano eae,Fala! Curte anime também? Posso recomendar mais.
despedida,me responde aí: tchau,Até mais! Bons episódios pra você.
personagem,quem é o Gojo?,Claro! Gojo Satoru é um dos personagens mais fortes de Jujutsu Kaisen.
episodios,One Piece acabou??,"Não, One Piece ainda está em exibição. 😊"
despedida,tchau?,Claro! Até mais! Bons episódios pra você.
curiosidade,me responde aí: qual foi o primeiro anime?,Astro Boy foi um dos primeiros animes populares. 😊
comparacao,mano qual anime é mais famoso?,One Piece e Dragon Ball estão entre os mais populares. Curte esse tipo?
poderes,me responde aí: o que é bankai?,Claro! Bankai é a forma avançada da espada dos shinigamis em Bleach.
curiosidade,Qual foi o primeiro anime?,Astro Boy foi um dos primeiros animes populares. 😊
personagem,Quem é o levi?,Claro! Levi Ackerman é capitão da tropa de exploração em Attack on Titan.
despedida,FALOU,Falou! Depois voltamos ao mundo dos animes. Curte esse tipo?
curiosidade,me responde aí: qual anime mais longo?,Claro! Sazae-san é considerado o anime mais longo da história.
saudacao,Oi,Oi! Como posso ajudar sobre animes hoje? Curte esse tipo?
curiosidade,me responde aí: qual foi o primeiro anime?,Astro Boy foi um dos primeiros animes populares.
episodios,mano quantos eps tem Demon Slayer?,Demon Slayer possui várias temporadas e filmes. Posso recomendar mais.
comparacao,QUAL ANIME É MAIS FAMOSO?,One Piece e Dragon Ball estão entre os mais populares. Posso recomendar mais.
poderes,qual o poder do Goku?,Goku utiliza o Ki e diversas transformações Saiyajin. Curte esse tipo?
episodios,me responde aí: One Piece acabou?,"Não, One Piece ainda está em exibição. 😊"
episodios,me responde aí: quantos eps tem Demon Slayer?,Demon Slayer possui várias temporadas e filmes.
personagem,Quem é o levi?,Levi Ackerman é capitão da tropa de exploração em Attack on Titan.
personagem,Quem é o naruto?,Claro! Naruto Uzumaki é o protagonista do anime Naruto.
personagem,quem é o Levi?,Levi Ackerman é capitão da tropa de exploração em Attack on Titan. Posso recomendar mais.
recomendacao,ANIME ENGRAÇADO,Spy x Family é uma ótima escolha.
recomendacao,mano me recomenda um anime de ação,Você pode gostar de Attack on Titan.
recomendacao,me responde aí: me recomenda um anime de ação,Você pode gostar de Attack on Titan.
comparacao,qual anime é mais famoso?,One Piece e Dragon Ball estão entre os mais populares.
episodios,One Piece acabou?,"Não, One Piece ainda está em exibição. 😊"
poderes,O QUE É SHARINGAN?,Sharingan é uma habilidade ocular do clã Uchiha. Posso recomendar mais.
recomendacao,me recomenda um anime de ação,Você pode gostar de Attack on Titan. Posso recomendar mais.
saudacao,me responde aí: oi,Claro! Oi! Como posso ajudar sobre animes hoje?
comparacao,Quem vence goku ou naruto?,Depende das regras da comparação e do universo. 😊
personagem,quem é o Gojo??,Gojo Satoru é um dos personagens mais fortes de Jujutsu Kaisen. Posso recomendar mais.
episodios,me responde aí: quantos eps tem Demon Slayer?,Demon Slayer possui várias temporadas e filmes. Posso recomendar mais.
curiosidade,qual foi o primeiro anime?,Astro Boy foi um dos primeiros animes populares.
episodios,QUANTOS EPS TEM DEMON SLAYER?,Demon Slayer possui várias temporadas e filmes. 😊
despedida,até logo,Até logo! Espero que encontre um anime incrível.
episodios,mano quantos episódios tem Naruto?,Naruto clássico possui 220 episódios. Posso recomendar mais.
poderes,O que é bankai?,Bankai é a forma avançada da espada dos shinigamis em Bleach.
despedida,Falou,Falou! Depois voltamos ao mundo dos animes.
recomendacao,anime engraçado?,Spy x Family é uma ótima escolha. 😊
saudacao,me responde aí: eae,Claro! Fala! Curte anime também?
curiosidade,Qual foi o primeiro anime?,Astro Boy foi um dos primeiros animes populares. Posso recomendar mais.
poderes,O QUE É BANKAI?,Bankai é a forma avançada da espada dos shinigamis em Bleach. Curte esse tipo?
comparacao,Quem vence goku ou naruto?,Depende das regras da comparação e do universo. Curte esse tipo?
saudacao,eae?,Claro! Fala! Curte anime também?
despedida,FALOU,Claro! Falou! Depois voltamos ao mundo dos animes.
poderes,mano qual o poder do Goku?,Goku utiliza o Ki e diversas transformações Saiyajin.
episodios,One Piece acabou??,"Claro! Não, One Piece ainda está em exibição."
saudacao,Oi,Oi! Como posso ajudar sobre animes hoje?
despedida,me responde aí: falou,Falou! Depois voltamos ao mundo dos animes. Curte esse tipo?
curiosidade,me responde aí: quem criou Naruto?,Naruto foi criado por Masashi Kishimoto. 😊
despedida,FALOU,Falou! Depois voltamos ao mundo dos animes.
episodios,mano One Piece acabou?,"Não, One Piece ainda está em exibição. Curte esse tipo?"
comparacao,Qual anime é mais famoso?,One Piece e Dragon Ball estão entre os mais populares. Posso recomendar mais.
comparacao,quem vence Goku ou Naruto?,Depende das regras da comparação e do universo. Curte esse tipo?
comparacao,qual anime é mais famoso??,One Piece e Dragon Ball estão entre os mais populares.
recomendacao,ANIME ENGRAÇADO,Spy x Family é uma ótima escolha. Posso recomendar mais.
saudacao,mano eae,Fala! Curte anime também? Curte esse tipo?
poderes,me responde aí: o que é bankai?,Bankai é a forma avançada da espada dos shinigamis em Bleach.
poderes,mano qual o poder do Goku?,Goku utiliza o Ki e diversas transformações Saiyajin. Curte esse tipo?
poderes,O QUE É BANKAI?,Bankai é a forma avançada da espada dos shinigamis em Bleach. 😊
personagem,quem é o Naruto??,Naruto Uzumaki é o protagonista do anime Naruto. Posso recomendar mais.
curiosidade,me responde aí: qual foi o primeiro anime?,Astro Boy foi um dos primeiros animes populares.
personagem,quem é o Gojo?,Gojo Satoru é um dos personagens mais fortes de Jujutsu Kaisen. 😊
curiosidade,Qual foi o primeiro anime?,Astro Boy foi um dos primeiros animes populares. 😊
curiosidade,Qual foi o primeiro anime?,Claro! Astro Boy foi um dos primeiros animes populares.
despedida,Falou,Falou! Depois voltamos ao mundo dos animes.
episodios,Quantos eps tem demon slayer?,Demon Slayer possui várias temporadas e filmes. Posso recomendar mais.
episodios,mano One Piece acabou?,"Não, One Piece ainda está em exibição. Posso recomendar mais."
episodios,quantos eps tem Demon Slayer??,Demon Slayer possui várias temporadas e filmes. 😊
saudacao,eae,Fala! Curte anime também? Curte esse tipo?
saudacao,Bom dia,Bom dia! Quer conversar sobre qual anime? Posso recomendar mais.
comparacao,QUAL ANIME É MAIS FAMOSO?,Claro! One Piece e Dragon Ball estão entre os mais populares.
personagem,Quem é o naruto?,Naruto Uzumaki é o protagonista do anime Naruto. 😊
despedida,FALOU,Falou! Depois voltamos ao mundo dos animes. Curte esse tipo?
comparacao,me responde aí: Naruto é melhor que One Piece?,Isso varia muito do gosto de cada fã. Posso recomendar mais.
curiosidade,QUAL FOI O PRIMEIRO ANIME?,Astro Boy foi um dos primeiros animes populares.
saudacao,eae,Fala! Curte anime também? Curte esse tipo?
personagem,me responde aí: quem é o Naruto?,Claro! Naruto Uzumaki é o protagonista do anime Naruto.
saudacao,Eae,Claro! Fala! Curte anime também?
saudacao,Eae,Fala! Curte anime também? Curte esse tipo?
recomendacao,anime engraçado,Spy x Family é uma ótima escolha. 😊
recomendacao,Quero um anime triste,Your Lie in April costuma emocionar bastante.
recomendacao,anime engraçado?,Spy x Family é uma ótima escolha. 😊
comparacao,Quem vence goku ou naruto?,Depende das regras da comparação e do universo.
comparacao,mano qual anime é mais famoso?,One Piece e Dragon Ball estão entre os mais populares. Curte esse tipo?
despedida,até logo?,Até logo! Espero que encontre um anime incrível. Posso recomendar mais.
personagem,QUEM É O NARUTO?,Naruto Uzumaki é o protagonista do anime Naruto. Posso recomendar mais.
personagem,me responde aí: quem é o Naruto?,Naruto Uzumaki é o protagonista do anime Naruto. 😊
despedida,mano falou,Falou! Depois voltamos ao mundo dos animes. Curte esse tipo?
curiosidade,me responde aí: qual foi o primeiro anime?,Astro Boy foi um dos primeiros animes populares. 😊
poderes,O QUE É BANKAI?,Bankai é a forma avançada da espada dos shinigamis em Bleach. 😊
poderes,me responde aí: qual o poder do Goku?,Goku utiliza o Ki e diversas transformações Saiyajin. 😊
personagem,me responde aí: quem é o Levi?,Levi Ackerman é capitão da tropa de exploração em Attack on Titan. Posso recomendar mais.
curiosidade,Qual anime mais longo?,Sazae-san é considerado o anime mais longo da história. Curte esse tipo?
episodios,Quantos episódios tem naruto?,Naruto clássico possui 220 episódios. Posso recomendar mais.
recomendacao,me responde aí: quero um anime triste,Your Lie in April costuma emocionar bastante. Posso recomendar mais.
poderes,o que é sharingan??,Sharingan é uma habilidade ocular do clã Uchiha. 😊
saudacao,BOM DIA,Bom dia! Quer conversar sobre qual anime? 😊
saudacao,eae?,Fala! Curte anime também? 😊
despedida,falou?,Falou! Depois voltamos ao mundo dos animes. 😊
personagem,Quem é o levi?,Levi Ackerman é capitão da tropa de exploração em Attack on Titan. Curte esse tipo?
comparacao,QUEM VENCE GOKU OU NARUTO?,Depende das regras da comparação e do universo. 😊
curiosidade,quem criou Naruto?,Claro! Naruto foi criado por Masashi Kishimoto.
comparacao,Qual anime é mais famoso?,One Piece e Dragon Ball estão entre os mais populares.
recomendacao,me recomenda um anime de ação,Você pode gostar de Attack on Titan. 😊
despedida,TCHAU,Até mais! Bons episódios pra você. 😊
recomendacao,mano me recomenda um anime de ação,Claro! Você pode gostar de Attack on Titan.
comparacao,mano quem vence Goku ou Naruto?,Claro! Depende das regras da comparação e do universo.
despedida,falou,Falou! Depois voltamos ao mundo dos animes.
personagem,mano quem é o Naruto?,Naruto Uzumaki é o protagonista do anime Naruto. Posso recomendar mais.
saudacao,eae?,Fala! Curte anime também? Posso recomendar mais.
poderes,me responde aí: o que é sharingan?,Claro! Sharingan é uma habilidade ocular do clã Uchiha.
personagem,Quem é o levi?,Levi Ackerman é capitão da tropa de exploração em Attack on Titan. Curte esse tipo?
personagem,me responde aí: quem é o Naruto?,Naruto Uzumaki é o protagonista do anime Naruto. Posso recomendar mais.
episodios,ONE PIECE ACABOU?,"Não, One Piece ainda está em exibição. 😊"
episodios,me responde aí: quantos episódios tem Naruto?,Naruto clássico possui 220 episódios. Curte esse tipo?
comparacao,QUAL ANIME É MAIS FAMOSO?,One Piece e Dragon Ball estão entre os mais populares.
poderes,QUAL O PODER DO GOKU?,Goku utiliza o Ki e diversas transformações Saiyajin.
comparacao,Quem vence goku ou naruto?,Claro! Depende das regras da comparação e do universo.
comparacao,QUEM VENCE GOKU OU NARUTO?,Depende das regras da comparação e do universo. 😊
saudacao,OI,Oi! Como posso ajudar sobre animes hoje?
comparacao,NARUTO É MELHOR QUE ONE PIECE?,Isso varia muito do gosto de cada fã. Posso recomendar mais.
saudacao,mano bom dia,Bom dia! Quer conversar sobre qual anime?
comparacao,qual anime é mais famoso?,One Piece e Dragon Ball estão entre os mais populares. Posso recomendar mais.
episodios,ONE PIECE ACABOU?,"Não, One Piece ainda está em exibição. 😊"
despedida,Falou,Falou! Depois voltamos ao mundo dos animes.
saudacao,mano bom dia,Bom dia! Quer conversar sobre qual anime?
despedida,Até logo,Até logo! Espero que encontre um anime incrível.
recomendacao,me recomenda um anime de ação?,Você pode gostar de Attack on Titan. Curte esse tipo?
recomendacao,Me recomenda um anime de ação,Você pode gostar de Attack on Titan. Posso recomendar mais.
personagem,QUEM É O LEVI?,Levi Ackerman é capitão da tropa de exploração em Attack on Titan. 😊
personagem,quem é o Naruto??,Naruto Uzumaki é o protagonista do anime Naruto. 😊
recomendacao,Anime engraçado,Claro! Spy x Family é uma ótima escolha.
curiosidade,QUAL FOI O PRIMEIRO ANIME?,Astro Boy foi um dos primeiros animes populares.
despedida,TCHAU,Claro! Até mais! Bons episódios pra você.
curiosidade,mano quem criou Naruto?,Naruto foi criado por Masashi Kishimoto. Curte esse tipo?
comparacao,mano Naruto é melhor que One Piece?,Claro! Isso varia muito do gosto de cada fã.
poderes,o que é bankai?,Bankai é a forma avançada da espada dos shinigamis em Bleach. 😊
saudacao,me responde aí: oi,Oi! Como posso ajudar sobre animes hoje? Curte esse tipo?
despedida,me responde aí: tchau,Até mais! Bons episódios pra você. 😊
poderes,o que é bankai?,Bankai é a forma avançada da espada dos shinigamis em Bleach. Curte esse tipo?
curiosidade,qual foi o primeiro anime?,Claro! Astro Boy foi um dos primeiros animes populares.
curiosidade,me responde aí: quem criou Naruto?,Naruto foi criado por Masashi Kishimoto. Curte esse tipo?
curiosidade,Qual anime mais longo?,Sazae-san é considerado o anime mais longo da história. 😊
episodios,me responde aí: One Piece acabou?,"Não, One Piece ainda está em exibição. Posso recomendar mais."
recomendacao,mano anime engraçado,Spy x Family é uma ótima escolha. Posso recomendar mais.
curiosidade,me responde aí: quem criou Naruto?,Naruto foi criado por Masashi Kishimoto. Curte esse tipo?
curiosidade,mano quem criou Naruto?,Claro! Naruto foi criado por Masashi Kishimoto.
comparacao,quem vence Goku ou Naruto?,Depende das regras da comparação e do universo. Curte esse tipo?
recomendacao,me responde aí: anime engraçado,Spy x Family é uma ótima escolha. Curte esse tipo?
curiosidade,qual foi o primeiro anime??,Astro Boy foi um dos primeiros animes populares. 😊
despedida,mano até logo,Até logo! Espero que encontre um anime incrível. 😊
episodios,quantos eps tem Demon Slayer?,Demon Slayer possui várias temporadas e filmes. Posso recomendar mais.
despedida,mano falou,Falou! Depois voltamos ao mundo dos animes. 😊
comparacao,me responde aí: Naruto é melhor que One Piece?,Claro! Isso varia muito do gosto de cada fã.
recomendacao,mano me recomenda um anime de ação,Você pode gostar de Attack on Titan. 😊
personagem,me responde aí: quem é o Levi?,Levi Ackerman é capitão da tropa de exploração em Attack on Titan. Curte esse tipo?
curiosidade,mano quem criou Naruto?,Naruto foi criado por Masashi Kishimoto. 😊
recomendacao,quero um anime triste?,Your Lie in April costuma emocionar bastante. Curte esse tipo?
saudacao,mano eae,Fala! Curte anime também? Posso recomendar mais.
episodios,One Piece acabou?,"Não, One Piece ainda está em exibição. Posso recomendar mais."
despedida,mano falou,Claro! Falou! Depois voltamos ao mundo dos animes.
despedida,Até logo,Claro! Até logo! Espero que encontre um anime incrível.
saudacao,mano bom dia,Bom dia! Quer conversar sobre qual anime?
personagem,Quem é o gojo?,Gojo Satoru é um dos personagens mais fortes de Jujutsu Kaisen. 😊
comparacao,qual anime é mais famoso??,Claro! One Piece e Dragon Ball estão entre os mais populares.
saudacao,eae,Fala! Curte anime também? Posso recomendar mais.
saudacao,eae,Claro! Fala! Curte anime também?
curiosidade,quem criou Naruto??,Naruto foi criado por Masashi Kishimoto. Curte esse tipo?
poderes,O que é bankai?,Claro! Bankai é a forma avançada da espada dos shinigamis em Bleach.
curiosidade,QUAL ANIME MAIS LONGO?,Sazae-san é considerado o anime mais longo da história. Posso recomendar mais.
recomendacao,QUERO UM ANIME TRISTE,Claro! Your Lie in April costuma emocionar bastante.
comparacao,qual anime é mais famoso?,Claro! One Piece e Dragon Ball estão entre os mais populares.
recomendacao,quero um anime triste?,Your Lie in April costuma emocionar bastante. Curte esse tipo?
despedida,até logo?,Claro! Até logo! Espero que encontre um anime incrível.
recomendacao,me responde aí: quero um anime triste,Claro! Your Lie in April costuma emocionar bastante.
personagem,QUEM É O NARUTO?,Naruto Uzumaki é o protagonista do anime Naruto. Posso recomendar mais.
despedida,até logo?,Até logo! Espero que encontre um anime incrível. 😊
personagem,me responde aí: quem é o Levi?,Claro! Levi Ackerman é capitão da tropa de exploração em Attack on Titan.
poderes,O que é bankai?,Bankai é a forma avançada da espada dos shinigamis em Bleach. 😊
personagem,quem é o Gojo??,Claro! Gojo Satoru é um dos personagens mais fortes de Jujutsu Kaisen.
poderes,o que é bankai??,Bankai é a forma avançada da espada dos shinigamis em Bleach. Posso recomendar mais.
saudacao,Oi,Oi! Como posso ajudar sobre animes hoje? Posso recomendar mais.
episodios,me responde aí: quantos episódios tem Naruto?,Naruto clássico possui 220 episódios. Posso recomendar mais.
comparacao,me responde aí: qual anime é mais famoso?,One Piece e Dragon Ball estão entre os mais populares. 😊
despedida,falou?,Falou! Depois voltamos ao mundo dos animes. 😊
poderes,QUAL O PODER DO GOKU?,Goku utiliza o Ki e diversas transformações Saiyajin. 😊
episodios,me responde aí: quantos eps tem Demon Slayer?,Demon Slayer possui várias temporadas e filmes. 😊
saudacao,oi,Oi! Como posso ajudar sobre animes hoje? Posso recomendar mais.
saudacao,eae,Fala! Curte anime também? 😊
episodios,me responde aí: One Piece acabou?,"Não, One Piece ainda está em exibição."
poderes,o que é bankai?,Bankai é a forma avançada da espada dos shinigamis em Bleach.
episodios,One Piece acabou??,"Claro! Não, One Piece ainda está em exibição."
personagem,me responde aí: quem é o Gojo?,Gojo Satoru é um dos personagens mais fortes de Jujutsu Kaisen.
saudacao,oi,Claro! Oi! Como posso ajudar sobre animes hoje?
recomendacao,QUERO UM ANIME TRISTE,Your Lie in April costuma emocionar bastante. Curte esse tipo?
comparacao,qual anime é mais famoso?,One Piece e Dragon Ball estão entre os mais populares.
poderes,me responde aí: o que é bankai?,Claro! Bankai é a forma avançada da espada dos shinigamis em Bleach.
saudacao,eae,Fala! Curte anime também?
personagem,QUEM É O LEVI?,Levi Ackerman é capitão da tropa de exploração em Attack on Titan. Posso recomendar mais.
despedida,TCHAU,Claro! Até mais! Bons episódios pra você.
saudacao,oi?,Claro! Oi! Como posso ajudar sobre animes hoje?
despedida,até logo?,Até logo! Espero que encontre um anime incrível.
episodios,mano One Piece acabou?,"Não, One Piece ainda está em exibição. Curte esse tipo?"
despedida,mano até logo,Até logo! Espero que encontre um anime incrível.
curiosidade,Qual foi o primeiro anime?,Astro Boy foi um dos primeiros animes populares.
saudacao,bom dia,Bom dia! Quer conversar sobre qual anime? Posso recomendar mais.
curiosidade,quem criou Naruto??,Naruto foi criado por Masashi Kishimoto. Curte esse tipo?
recomendacao,mano me recomenda um anime de ação,Você pode gostar de Attack on Titan. Posso recomendar mais.
saudacao,me responde aí: eae,Fala! Curte anime também? Posso recomendar mais.
comparacao,qual anime é mais famoso?,Claro! One Piece e Dragon Ball estão entre os mais populares.
personagem,quem é o Gojo??,Claro! Gojo Satoru é um dos personagens mais fortes de Jujutsu Kaisen.
recomendacao,mano quero um anime triste,Your Lie in April costuma emocionar bastante.
personagem,mano quem é o Naruto?,Claro! Naruto Uzumaki é o protagonista do anime Naruto.
despedida,Até logo,Claro! Até logo! Espero que encontre um anime incrível.
poderes,mano o que é bankai?,Bankai é a forma avançada da espada dos shinigamis em Bleach. 😊
episodios,me responde aí: quantos eps tem Demon Slayer?,Demon Slayer possui várias temporadas e filmes.
curiosidade,mano qual anime mais longo?,Sazae-san é considerado o anime mais longo da história. Posso recomendar mais.
comparacao,Naruto é melhor que One Piece??,Isso varia muito do gosto de cada fã. Curte esse tipo?
comparacao,qual anime é mais famoso?,One Piece e Dragon Ball estão entre os mais populares. 😊
episodios,me responde aí: quantos eps tem Demon Slayer?,Claro! Demon Slayer possui várias temporadas e filmes.
recomendacao,anime engraçado,Claro! Spy x Family é uma ótima escolha.
saudacao,BOM DIA,Bom dia! Quer conversar sobre qual anime? Posso recomendar mais.
despedida,mano falou,Falou! Depois voltamos ao mundo dos animes.
saudacao,OI,Oi! Como posso ajudar sobre animes hoje? Curte esse tipo?
saudacao,bom dia?,Bom dia! Quer conversar sobre qual anime?
curiosidade,Qual foi o primeiro anime?,Astro Boy foi um dos primeiros animes populares. Curte esse tipo?
comparacao,quem vence Goku ou Naruto?,Depende das regras da comparação e do universo. 😊
curiosidade,mano quem criou Naruto?,Naruto foi criado por Masashi Kishimoto.
personagem,Quem é o gojo?,Gojo Satoru é um dos personagens mais fortes de Jujutsu Kaisen. 😊
episodios,One Piece acabou?,"Claro! Não, One Piece ainda está em exibição."
poderes,o que é bankai??,Bankai é a forma avançada da espada dos shinigamis em Bleach.
saudacao,eae?,Fala! Curte anime também? 😊
saudacao,eae?,Fala! Curte anime também? Posso recomendar mais.
comparacao,Naruto é melhor que One Piece??,Claro! Isso varia muito do gosto de cada fã.
saudacao,BOM DIA,Bom dia! Quer conversar sobre qual anime? 😊
poderes,me responde aí: qual o poder do Goku?,Claro! Goku utiliza o Ki e diversas transformações Saiyajin.
episodios,quantos episódios tem Naruto?,Naruto clássico possui 220 episódios. 😊
despedida,me responde aí: tchau,Até mais! Bons episódios pra você. Posso recomendar mais.
despedida,me responde aí: tchau,Claro! Até mais! Bons episódios pra você.
curiosidade,qual anime mais longo?,Sazae-san é considerado o anime mais longo da história. 😊
personagem,quem é o Gojo?,Gojo Satoru é um dos personagens mais fortes de Jujutsu Kaisen. 😊
saudacao,EAE,Fala! Curte anime também? Posso recomendar mais.
despedida,falou?,Falou! Depois voltamos ao mundo dos animes. 😊
despedida,mano até logo,Até logo! Espero que encontre um anime incrível.
poderes,me responde aí: o que é bankai?,Bankai é a forma avançada da espada dos shinigamis em Bleach.
personagem,me responde aí: quem é o Levi?,Levi Ackerman é capitão da tropa de exploração em Attack on Titan. 😊
comparacao,mano Naruto é melhor que One Piece?,Claro! Isso varia muito do gosto de cada fã.
personagem,quem é o Levi??,Levi Ackerman é capitão da tropa de exploração em Attack on Titan. Curte esse tipo?
curiosidade,QUAL ANIME MAIS LONGO?,Sazae-san é considerado o anime mais longo da história.
despedida,FALOU,Falou! Depois voltamos ao mundo dos animes. 😊
personagem,QUEM É O NARUTO?,Naruto Uzumaki é o protagonista do anime Naruto. 😊
curiosidade,mano qual anime mais longo?,Sazae-san é considerado o anime mais longo da história.
saudacao,Eae,Fala! Curte anime também? Curte esse tipo?
saudacao,EAE,Fala! Curte anime também? Posso recomendar mais.
poderes,mano o que é sharingan?,Sharingan é uma habilidade ocular do clã Uchiha.
saudacao,mano eae,Fala! Curte anime também?
comparacao,mano quem vence Goku ou Naruto?,Depende das regras da comparação e do universo. 😊
episodios,quantos episódios tem Naruto??,Claro! Naruto clássico possui 220 episódios.
saudacao,me responde aí: oi,Oi! Como posso ajudar sobre animes hoje? Curte esse tipo?
curiosidade,qual anime mais longo?,Sazae-san é considerado o anime mais longo da história. Posso recomendar mais.
comparacao,mano quem vence Goku ou Naruto?,Depende das regras da comparação e do universo. 😊
comparacao,me responde aí: qual anime é mais famoso?,One Piece e Dragon Ball estão entre os mais populares.
personagem,quem é o Naruto??,Naruto Uzumaki é o protagonista do anime Naruto. Posso recomendar mais.
saudacao,Eae,Fala! Curte anime também? 😊
comparacao,quem vence Goku ou Naruto??,Depende das regras da comparação e do universo. Curte esse tipo?
recomendacao,mano quero um anime triste,Your Lie in April costuma emocionar bastante.
poderes,mano o que é sharingan?,Claro! Sharingan é uma habilidade ocular do clã Uchiha.
personagem,Quem é o naruto?,Naruto Uzumaki é o protagonista do anime Naruto. Posso recomendar mais.
saudacao,OI,Oi! Como posso ajudar sobre animes hoje?
poderes,O que é sharingan?,Sharingan é uma habilidade ocular do clã Uchiha.
poderes,O QUE É BANKAI?,Bankai é a forma avançada da espada dos shinigamis em Bleach. 😊
episodios,quantos episódios tem Naruto?,Naruto clássico possui 220 episódios. Posso recomendar mais.
poderes,qual o poder do Goku??,Claro! Goku utiliza o Ki e diversas transformações Saiyajin.
despedida,me responde aí: tchau,Até mais! Bons episódios pra você. Curte esse tipo?
curiosidade,qual anime mais longo??,Claro! Sazae-san é considerado o anime mais longo da história.
saudacao,me responde aí: eae,Fala! Curte anime também?
episodios,me responde aí: quantos eps tem Demon Slayer?,Demon Slayer possui várias temporadas e filmes. Curte esse tipo?
episodios,me responde aí: quantos episódios tem Naruto?,Naruto clássico possui 220 episódios. 😊
saudacao,oi?,Oi! Como posso ajudar sobre animes hoje?
